FOOD_STORED	農作物
LUMBER	木材
COAL_STORED	鉱石
PETROL_STORED	石油
CONSTRUCTION_RESOURCE	建設資材
OPERATION_RESOURCE	運営資材
OPERATION_RESOURCE_LEFT	余剰運営資材
TRANSFER_CONSTRUCTION_RESOURCE_TO	建設資材を輸送
TRANSFER_OPERATION_RESOURCE_TO	運営資材を輸送
GOING_FOR_FUEL_TO	ガソリンスタンドへ行く途中
BUILDING_TYPE	建築タイプ
NORMAL_BUILDING	通常建設
GENERATE_BOTH_RESOURCES	両方を生産
GENERATE_CONSTRUCTION_RESOURCES	建設資材の生産のみ
GENERATE_OPERATION_RESOURCES	運営資材の生産のみ
NONEED_RESOURCE	資材不要
DEBUG_MODE	デバッグUI
SHOW_LACK_OF_RESOURCE	建設や運用の資材が不足している場合に建物に資源不足のアイコンを表示する
FIX_UNROUTED_TRANSFER_MATCH_DESCRIPTION	他のエリアの道路接続から孤立しているエリアがある場合に未接続の輸送を修正する
FIX_UNROUTED_TRANSFER_MATCH_ENALBE	未接続の輸送を修正
OPERATION_RESOURCE_CONSUMPTION	運営資材の消費速度
NORMAL	通常
HALF	半分
NONE	なし
